Date,Building,Chilled Water (kWh),Cooling (kWh),Domestic Cold Water (m3),Electricity (kWh),Heating (kWh),Heating Water (kWh),Natural Gas (kWh)
2018-11-06,B3,0,,62.8,"7,357.59",,"14,633.35",0
2018-11-06,B4,0,,34.9,"10,128.37",,"9,397.23",0
2018-11-06,B5,87.92,,27.91,"2,033.64",,"3,805.56",0
2018-11-06,B6,0,,7.1,"4,026.55",,"17,941.68",427.78
2018-11-07,B1,,"5,058.41",15.42,"13,338.74","21,608.35",,0
2018-11-07,B2,,"5,486.29",87.39,"12,205.07","49,822.26",,"2,272.22"
2018-11-07,B3,0,,63.25,"7,327.39",,"14,544.46",0
2018-11-07,B4,0,,32.6,"11,165.57",,"9,558.34",0
2018-11-07,B5,137.74,,27.69,"2,015.70",,"3,566.67",0
2018-11-07,B6,0,,6.5,"4,037.95",,"18,041.68",305.56
2018-11-08,B1,,"4,988.07",14.71,"12,869.34","21,422.24",,0
2018-11-08,B2,,"5,354.41",91.55,"12,127.17","45,780.59",,"2,269.45"
2018-11-08,B3,0,,63.7,"6,908.84",,"14,572.23",0
2018-11-08,B4,0,,32.3,"10,189.54",,"10,700.01",0
2018-11-08,B5,87.92,,31.86,"1,959.72",,"3,497.23",0
2018-11-08,B6,0,,8.7,"3,867.67",,"18,305.57",355.56
2018-11-09,B1,,"5,011.52",18.09,"11,000.28","15,427.79",,0
2018-11-09,B2,,"4,574.84",75.47,"11,847.05","46,019.48",,"2,216.67"
2018-11-09,B3,0,,57.7,"5,542.06",,"12,036.12",0
2018-11-09,B4,0,,25,"7,762.60",,"8,905.56",0
2018-11-09,B5,5.86,,22.54,"1,898.32",,"2,141.67",0
2018-11-09,B6,0,,4.6,"3,391.51",,"16,547.24",191.67
2018-11-10,B1,,"4,917.73",0.84,"10,929.91","14,444.46",,0
2018-11-10,B2,,"3,824.58",55.63,"8,898.71","34,522.25",,"2,130.56"
2018-11-10,B3,0,,36.6,"6,060.32",,"10,875.01",0
2018-11-10,B4,0,,2.6,"7,607.85",,"5,758.34",0
2018-11-10,B5,41.03,,27.13,"1,822.32",,"1,163.89",0
2018-11-10,B6,0,,0.3,"3,315.84",,"17,066.68",233.33
2018-11-11,B1,,"5,020.31",0.02,"11,332.46","17,247.24",,0
2018-11-11,B2,,"3,974.04",46.94,"8,701.02","37,425.03",,"2,055.56"
2018-11-11,B3,0,,35.5,"6,269.14",,"14,027.79",0
2018-11-11,B4,0,,2.6,"8,839.07",,"6,188.89",0
2018-11-11,B5,63.01,,26.39,"1,796.78",,"1,708.33",0
2018-11-11,B6,0,,0.2,"3,526.31",,"16,602.79",347.22
2018-11-12,B1,,"4,703.79",0.97,"12,431.10","15,369.46",,0
2018-11-12,B2,,"4,557.26",45.31,"10,512.66","46,991.70",,"2,305.56"
2018-11-12,B3,0,,37.7,"6,556.71",,"12,752.79",0
2018-11-12,B4,0,,3.1,"8,678.31",,"8,077.78",0
2018-11-12,B5,84.99,,15.69,"1,724.06",,"1,669.45",0
2018-11-12,B6,0,,0.6,"3,901.02",,"17,161.12",216.67
2018-11-13,B1,,"4,513.29",13.44,"12,798.18","9,550.01",,0
2018-11-13,B2,,"4,530.88",56.29,"11,878.01","40,394.48",,"2,238.89"
2018-11-13,B3,0,,44.3,"6,707.70",,"8,561.12",0
2018-11-13,B4,0,,9.2,"7,935.50",,"6,677.78",0
2018-11-13,B5,630.1,,21.14,"1,808.62",,638.89,0
2018-11-13,B6,0,,5.0,"3,951.79",,"14,347.23",119.44
2018-11-14,B1,,"4,903.08",7.75,"12,572.35","9,483.34",,0
2018-11-14,B2,,"4,050.24",54.54,"12,003.39","40,038.92",,"2,247.22"
2018-11-14,B3,0,,45.5,"6,622.68",,"9,372.23",0
2018-11-14,B4,0,,9.1,"9,047.74",,"6,050.00",0
2018-11-14,B5,627.17,,21.48,"1,852.91",,716.67,0
2018-11-14,B6,0,,4.0,"3,916.15",,"14,213.90",116.67
2018-11-15,B1,,"4,917.73",4.9,"12,737.68","11,480.56",,0
2018-11-15,B2,,"3,036.22",72.6,"11,724.97","41,777.81",,"2,177.78"
2018-11-15,B3,0,,44.5,"6,764.75",,"10,144.45",0
2018-11-15,B4,0,,9.8,"9,026.71",,"6,538.89",0
2018-11-15,B5,565.63,,16.53,"1,839.07",,"1,013.89",0
2018-11-15,B6,0,,6.5,"3,874.54",,"14,863.90",152.78
2018-11-16,B1,,"4,568.98",9.28,"11,118.75","21,116.68",,0
2018-11-16,B2,,"3,405.49",81.18,"10,978.32","46,908.37",,"2,213.89"
2018-11-16,B3,0,,43.6,"5,596.40",,"15,575.01",0
2018-11-16,B4,0,,9,"7,428.63",,"9,922.23",0
2018-11-16,B5,395.65,,16.82,"1,834.00",,"3,530.56",0
2018-11-16,B6,0,,3.1,"3,454.29",,"18,066.68",402.78
2018-11-17,B1,,"4,791.71",7.37,"11,034.01","19,758.35",,0
2018-11-17,B2,,"3,091.90",62.95,"8,610.94","34,275.03",,"2,191.67"
2018-11-17,B3,0,,36.5,"6,095.11",,"13,105.57",0
2018-11-17,B4,0,,1.9,"7,049.67",,"7,813.90",0
2018-11-17,B5,422.02,,19.56,"2,023.96",,"3,330.56",0
2018-11-17,B6,0,,0.4,"3,325.40",,"18,316.68",358.33
2018-11-18,B1,,"4,642.25",1.12,"13,102.98","12,472.23",,0
2018-11-18,B2,,"2,602.47",64.41,"8,512.86","30,405.58",,"2,061.11"
2018-11-18,B3,0,,37.3,"7,173.70",,"11,219.45",0
2018-11-18,B4,0,,1.6,"8,906.84",,"5,697.23",0
2018-11-18,B5,424.95,,22.36,"2,096.72",,"1,455.56",0
2018-11-18,B6,0,,0.2,"3,922.65",,"14,752.79",183.33
2018-11-19,B1,,"4,794.64",5.72,"13,447.50","12,061.12",,0
2018-11-19,B2,,"3,124.14",92.7,"11,775.12","39,155.59",,"2,113.89"
2018-11-19,B3,0,,69.3,"7,191.08",,"9,822.23",0
2018-11-19,B4,0,,35.7,"9,186.03",,"6,858.34",0
2018-11-19,B5,785.43,,24.4,"2,030.01",,"1,455.56",0
2018-11-19,B6,0,,7.8,"4,061.94",,"15,072.23",161.11
2018-11-20,B1,,"4,797.57",7.08,"13,189.73","10,255.56",,0
2018-11-20,B2,,"3,701.49",96.84,"11,907.82","38,686.14",,"2,238.89"
2018-11-20,B3,0,,79.2,"7,230.77",,"8,461.12",0
2018-11-20,B4,0,,36.5,"9,529.84",,"7,275.01",0
2018-11-20,B5,844.04,,25.29,"2,009.68",,"1,294.45",0
2018-11-20,B6,0,,7.2,"4,043.95",,"14,175.01",152.78
2018-11-21,B1,,"4,736.03",12.68,"13,461.05","11,325.01",,0
2018-11-21,B2,,"2,921.92",95.98,"11,906.65","39,197.25",,"2,297.22"
2018-11-21,B3,0,,66.7,"7,111.60",,"8,869.45",0
2018-11-21,B4,0,,36,"9,449.09",,"8,013.90",0
2018-11-21,B5,668.2,,23.8,"2,065.74",,"1,286.11",0
2018-11-21,B6,0,,6.9,"4,006.08",,"15,100.01",130.56
2018-11-22,B1,,"4,733.10",8.63,"12,958.09","11,752.79",,0
2018-11-22,B2,,"3,502.20",95.01,"11,921.22","38,302.81",,"2,477.78"
2018-11-22,B3,0,,68.6,"7,042.76",,"8,791.67",0
2018-11-22,B4,0,,32.5,"9,457.54",,"7,722.23",0
2018-11-22,B5,879.21,,25.12,"2,024.92",,"1,388.89",0
2018-11-22,B6,0,,6.2,"3,918.46",,"14,416.68",111.11
2018-11-23,B1,,"4,568.98",6.92,"10,967.24","15,486.12",,0
2018-11-23,B2,,"2,992.26",85.97,"11,816.73","44,933.37",,"2,116.67"
2018-11-23,B3,0,,57.9,"5,616.96",,"12,455.57",0
2018-11-23,B4,0,,28.3,"7,527.49",,"9,088.90",0
2018-11-23,B5,445.47,,22.14,"2,037.22",,"2,005.56",0
2018-11-23,B6,0,,5.3,"3,377.44",,"15,933.35",216.67
2018-11-24,B1,,"4,475.20",1.84,"10,871.89","16,363.90",,0
2018-11-24,B2,,"2,889.68",66.37,"8,928.47","36,330.58",,"2,025.00"
2018-11-24,B3,0,,37.4,"6,143.89",,"11,800.01",0
2018-11-24,B4,0,,2,"7,408.06",,"7,325.01",0
2018-11-24,B5,477.71,,25.14,"2,083.53",,"2,713.89",0
2018-11-24,B6,0,,0.3,"3,355.84",,"16,611.12",294.44
2018-11-25,B1,,"4,797.57",6.75,"13,093.18","15,786.12",,0
2018-11-25,B2,,"3,045.01",63.7,"8,959.69","34,105.58",,"2,088.89"
2018-11-25,B3,0,,36.9,"7,185.29",,"13,172.23",0
2018-11-25,B4,0,,2.3,"9,558.25",,"7,211.12",0
2018-11-25,B5,492.36,,29.82,"2,134.93",,"2,550.00",0
2018-11-25,B6,0,,0.4,"3,974.33",,"16,300.01",280.56
2018-11-26,B1,,"4,683.28",5.91,"13,682.48","12,886.12",,0
2018-11-26,B2,,"2,918.99",93.52,"11,970.96","37,230.59",,"2,100.00"
2018-11-26,B3,0,,61.7,"7,240.09",,"10,480.56",0
2018-11-26,B4,0,,35.9,"9,332.21",,"8,852.78",0
2018-11-26,B5,477.71,,27.64,"2,096.41",,"1,547.22",0
2018-11-26,B6,0,,9.6,"4,032.36",,"15,816.68",163.89
2018-11-27,B1,,"4,903.08",5.89,"13,375.33","11,041.68",,0
2018-11-27,B2,,"3,112.41",96.65,"11,993.13","30,552.80",,"2,200.00"
2018-11-27,B3,0,,63.1,"7,203.22",,"8,883.34",0
2018-11-27,B4,0,,31.6,"9,438.24",,"8,055.56",0
2018-11-27,B5,826.46,,36.37,"2,055.61",,"1,236.11",0
2018-11-27,B6,0,,6.9,"4,034.23",,"14,327.79",97.22
2018-11-28,B1,,"4,876.70",8.3,"13,630.79","11,827.79",,0
2018-11-28,B2,,"3,402.56",96.96,"12,005.73","29,930.58",,"2,233.34"
2018-11-28,B3,0,,72,"7,053.18",,"10,138.90",0
2018-11-28,B4,0,,32.5,"10,021.82",,"8,494.45",0
2018-11-28,B5,776.64,,29.31,"2,024.49",,"1,261.11",0
2018-11-28,B6,0,,7.3,"4,019.58",,"14,902.79",127.78
2018-11-29,B1,,"4,955.83",18.62,"12,940.50","14,252.79",,0
2018-11-29,B2,,"3,701.49",98.65,"11,872.15","37,547.25",,"2,322.22"
2018-11-29,B3,0,,61.9,"6,955.51",,"11,825.01",0
2018-11-29,B4,0,,30.7,"9,641.73",,"9,302.79",0
2018-11-29,B5,530.46,,25.03,"1,980.71",,"1,669.45",0
2018-11-29,B6,0,,6.8,"3,967.32",,"15,911.12",191.67
2018-11-30,B1,,"4,949.97",6.01,"10,951.47","16,055.57",,0
